		ปูชิตํ ปฏิราชูหิ             กิตฺติมนฺตํ ยสสฺสินํ
		กสฺมา เวสฺสนฺตรํ ปุตฺตํ       ปพฺพาเชนฺติ อทูสกํ ฯ
		มาตาเปติภรํ ชนฺตุํ          กุเล เชฏฺฐาปจายินํ
		กสฺมา เวสฺสนฺตรํ ปุตฺตํ       ปพฺพาเชนฺติ อทูสกํ ฯ
		รญฺโญ หิตํ เทวหิตํ ๑       ญาตีนํ สขินํ หิตํ
			หิตํ สพฺพสฺส รฏฺฐสฺส
		กสฺมา เวสฺสนฺตรํ ปุตฺตํ       ปพฺพาเชนฺติ อทูสกํ ฯ
	[๑๐๗๙] มธูนีว ปลิตานิ ๒          อมฺพาว ปติตา ฉมา
		เอวํ เหสฺสติ เต รฏฺฐํ       ปพฺพาเชนฺติ อทูสกํ ฯ
		หํโส นิกฺขีณปตฺโตว          ปลฺลลสฺมึ อนูทเก
		อปวิฏฺโฐ อมจฺเจหิ          เอโก ราชา วิหิยฺยสิ ฯ
		ตนฺตํ พฺรูมิ มหาราช         อตฺโถ เต มา อุปจฺจคา
		มา นํ สิวีนํ วจนา          ปพฺพาเชสิ อทูสกํ ฯ
	[๑๐๘๐] ธมฺมสฺสาปจิตึ กุมฺมึ ๓       สิวีนํ วินยํ ธชํ
		ปพฺพาเชมิ สกํ ปุตฺตํ         ปาณา ปิยตโร หิ เม ฯ
	[๑๐๘๑] ยสฺส ปุพฺเพ ธชคฺคานิ        กณิการาว ปุปฺผิตา
		ยายนฺตมนุยายนฺติ           สฺวชฺเชโกว คมิสฺสติ ฯ
		ยสฺส ปุพฺเพ ธชคฺคานิ        กณิการวนานิว
		ยายนฺตมนุยายนฺติ           สฺวชฺเชโกว คมิสฺสติ ฯ
		ยสฺส ปุพฺเพ อนีกานิ         กณิการาว ปุปฺผิตา
#๑ ม. เทวิหิตํ ฯ   ๒ ม. ปลาตานิ ฯ      ๓ ม. กุมฺมิ ฯ
